name,pressure_Pa_from_file2,propane_Henry_from_file2,|Qst(propane)|_from_file2,N2_1,N2_4,N2_18,N2_75,N2_316,N2_1334,N2_5623,N2_23714,N2_100000,Ar_0.001,Ar_0.01,Ar_0.1,Ar_1.0,Ar_10.0,Ar_100.0,Ar_1000.0,Ar_2000.0,Ar_4000.0,Ar_6000.0,Ar_8000.0,Ar_10000.0,Ar_12000.0,Ar_14000.0,Ar_16000.0,Ar_18000.0,Ar_20000.0,Ar_24000.0,Ar_28000.0,Ar_30000.0,Ar_32000.0,Ar_36000.0,Ar_40000.0,Ar_50000.0,Ar_60000.0,Ar_70000.0,Ar_80000.0,Ar_90000.0,Ar_100000.0,pld,lcd,surface_area_m2cm3,surface_area_m2g,void_fraction,length_a,length_b,length_c,angle_alpha,angle_beta,angle_gamma
HEGJUZ_clean-(id_177254),4000000,0.0284386,37.82105048,175.696,187.796,196.306,209.096,215.848,219.092,223.672,224.832,226.507,6.25562,26.0695,73.9535,175.92,213.62,227.08,230.264,230.792,233.305,232.536,233.433,233.747,235.113,236.179,235.548,236.736,241.067,241.319,242.875,244.08,243.885,245.803,243.033,243.683,244.897,245.098,244.4,246.151,245.728,4.73915,6.22529,1314.16,1205.3,0.551,14.608,18.041,24.803,90,90.005,90
HEGKAP_clean-(id_177255),4000000,10.1113,52.20232034,289.903,295.939,300.782,303.992,306.548,306.127,306.978,308.963,309.529,276.125,291.022,298.84,308.178,332.452,351.629,354.501,354.678,355.559,355.108,354.407,357.034,358.222,358.033,359.112,360.85,362.888,363.161,363.395,363.808,364.622,368.99,370.102,369.999,373.64,376.774,377.94,379.461,381.075,5.2637,7.71357,2081.73,1616.53,0.6232,14.8999,14.8999,19.1362,90,90,90
HEGNAJ_clean-(id_177256),4000000,0.0205218,38.64272095,71.7847,74.6536,77.4083,77.9293,78.4233,78.9071,79.2664,79.4999,80.0232,0.424107,5.02642,55.3357,77.0635,80.0971,80.8471,83.8678,85.3323,85.721,87.4179,87.455,88.485,87.7998,88.7078,88.5069,88.5128,88.1703,88.4905,89.4551,88.7369,88.7836,88.8668,89.2899,89.2609,89.2908,89.4592,89.026,89.375,89.2185,4.81592,6.01939,712.25,375.122,0.4102,23.7422,23.7422,13.4888,90,90,120
HEGNEN_clean-(id_177257),4000000,0.032488,39.70506653,68.906,70.3427,70.5418,70.5483,70.6016,70.5508,71.4087,72.2345,74.6933,1.25935,26.0787,64.5799,70.0639,71.9318,77.5819,84.0707,88.4073,91.9872,92.679,93.5363,93.4118,93.5666,94.6016,95.0051,95.4219,94.1533,95.6978,94.9563,94.9825,96.0653,95.9192,95.4746,95.7524,95.5207,96.4955,96.5149,96.0684,96.2649,4.79042,5.92457,717.079,373.015,0.4062,23.6965,23.6965,13.5437,90,90,120
HEGNIR_clean-(id_177258),4000000,0.0455138,40.73198456,62.8596,69.5783,72.3713,74.6837,76.2196,77.2071,77.6135,77.6135,78.1948,0.727224,7.61305,53.1403,75.1371,78.7936,79.04,79.4939,80.3079,81.0956,82.4665,83.118,83.4004,83.1669,83.8841,84.1327,84.652,84.4068,84.8176,85.5995,84.4104,84.4779,85.3296,86.1929,86.5739,87.3876,85.9264,86.4782,87.5035,87.14,4.74609,6.01675,685.918,355.156,0.4034,23.6635,23.6635,13.5686,90,90,120
HEGNOX_clean-(id_177259),4000000,0.0546124,41.05776613,68.0141,69.7917,69.8598,70.8479,71.3666,72.6495,74.0857,75.4016,77.413,1.28761,20.1406,64.8458,70.5853,75.8938,83.4465,86.3058,86.5655,87.0409,86.8535,88.2065,87.6815,88.5197,87.8052,87.7556,89.1248,87.6267,88.587,88.3275,89.6051,89.2531,89.2315,88.6968,89.7483,89.6115,90.8631,89.6388,89.7524,89.5802,4.7602,6.0763,711.305,364.096,0.416,23.6899,23.6899,13.5483,90,90,120
HEGNUD_clean-(id_177260),4000000,0.0355302,40.1355765,73.5533,75.423,76.308,77.1877,77.6156,78.4424,79.9582,80.31,82.0469,1.63214,36.804,72.8219,78.4494,79.3139,82.0872,85.8831,87.8349,89.0207,89.3841,90.4313,90.4687,89.8492,90.5555,91.1096,91.236,92.1741,92.3237,91.5322,93.6754,92.6882,94.4498,93.8904,93.1245,94.6676,93.8694,95.032,93.8275,94.6245,4.80382,5.94961,716.335,370.496,0.4134,23.716,23.716,13.447,90,90,120
HEGPAL_clean-(id_177261),4000000,0.0450826,40.88306731,67.7042,70.0378,70.6538,72.0833,72.2379,72.8749,73.4023,74.0455,76.5379,0.975689,13.5148,62.6247,71.5647,77.5659,83.0201,86.6304,87.2917,87.9554,88.1447,88.1857,88.6103,88.7662,89.2511,89.0315,89.379,88.9213,88.6745,89.6281,89.1467,89.7198,89.239,90.4398,89.8865,90.0977,90.7433,91.0062,90.8007,90.3586,4.82106,5.89979,705.302,363.588,0.4094,23.74,23.74,13.4851,90,90,120
HEKTAU_clean-(id_177263),4000000,0.00688561,37.40403578,228.264,233.928,238.126,241.106,241.126,241.126,241.126,241.614,241.126,3.13457,42.6623,221.463,239.141,246.637,258.692,273.249,275.191,278.04,279.598,277.969,276.754,280.185,282.275,283.988,284.338,281.415,281.932,282.631,285.878,282.596,283.013,283.258,284.955,287.04,288.079,289.026,286.826,287.139,4.04271,4.87289,1707.65,1526.84,0.5666,11.392,15.5684,17.6685,82.4152,71.193,68.5389
HEMTEZ_clean-(id_177268),4000000,0.000993103,26.53007276,46.384,79.9474,116.403,139.069,151.071,159.361,167.257,170.941,175.526,0.00660266,0.069745,0.702697,7.25125,57.6379,143.974,174.183,179.73,183.08,185.402,185.946,188.536,190.194,190.02,191.028,190.904,189.812,191.937,194.881,192.824,194.698,194.176,196.736,195.236,196.563,199.29,197.928,198.097,200.554,3.87493,6.9282,1526.38,874.763,0.561,27.745,16.1583,22.8192,90,90,90
