name,pressure_Pa_from_file2,propylene_Henry_from_file2,|Qst(propylene)|_from_file2,N2_1,N2_4,N2_18,N2_75,N2_316,N2_1334,N2_5623,N2_23714,N2_100000,Ar_0.001,Ar_0.01,Ar_0.1,Ar_1.0,Ar_10.0,Ar_100.0,Ar_1000.0,Ar_2000.0,Ar_4000.0,Ar_6000.0,Ar_8000.0,Ar_10000.0,Ar_12000.0,Ar_14000.0,Ar_16000.0,Ar_18000.0,Ar_20000.0,Ar_24000.0,Ar_28000.0,Ar_30000.0,Ar_32000.0,Ar_36000.0,Ar_40000.0,Ar_50000.0,Ar_60000.0,Ar_70000.0,Ar_80000.0,Ar_90000.0,Ar_100000.0,pld,lcd,surface_area_m2cm3,surface_area_m2g,void_fraction
ERANAO_clean-(id_176002),4000000,9.51E+24,210.7654408,27.02233031,27.28341729,28.45032259,27.47191671,27.69216071,28.07474981,27.935878,27.94794266,28.73331418,34.2763,34.6538,34.6538,34.6538,34.6538,34.6538,34.6538,34.6538,34.6538,34.6538,34.6538,34.6538,34.6538,34.6538,34.6538,34.6538,34.6538,34.6538,34.6538,34.6538,34.6538,34.6538,34.6538,34.6538,34.6538,34.6538,34.6538,34.6538,34.6538,3.56594,3.91189,339.17,52.6316,0.3488
ERIRIG_auto-(id_185686),4000000,7.95E-06,5.728081687,0.028299363,0.114173267,0.524676543,2.103585378,8.754909615,38.30919451,1027.876807,1145.085254,1199.878985,0,0,0.00178904,0.0102463,0.109457,1.05423,10.7634,21.7355,45.5714,73.7249,112.428,1244.69,1272.7,1283.27,1304.55,1309.69,1319.11,1331.15,1352.82,1349.63,1361.01,1360.85,1368.03,1382.53,1402.68,1404.97,1418.73,1413.09,1412.07,9.57613,11.6785,2035.73,4770.02,0.8318
ESARIB_clean-(id_176020),4000000,131.863,69.07273582,43.20941427,43.77125562,45.99197622,48.25752674,43.37463464,47.31350901,47.42262006,49.49135635,51.30745681,60.3168,62.1395,62.1519,62.1519,62.1519,62.1519,62.1519,62.1519,62.1519,62.1519,62.1519,62.1519,62.1519,62.1519,62.1519,62.1519,62.1519,62.1519,62.1519,62.1519,62.1519,62.1519,62.1519,62.1519,62.1519,62.1519,62.1519,62.1519,62.1519,3.62901,4.9043,341.914,182.392,0.3502
ESEBOV_clean-(id_176025),4000000,7.91E-05,16.92812104,168.3685266,195.7999384,227.8506333,255.9354502,355.6075417,585.4825196,702.8616947,1236.458576,1278.366906,0.0742277,0.679663,6.59844,64.0224,190.632,249.142,513.887,685.877,776.815,825.374,872.036,924.215,996.321,1240.57,1403.36,1404.26,1416.55,1434.08,1447.14,1450.18,1451.95,1459.93,1460.6,1477.03,1492.59,1494.51,1499.92,1506,1503.68,17.2126,25.1034,1480.29,3425.07,0.8414
EWUGEK_clean-(id_176124),4000000,0.000851428,41.24240904,36.17620305,36.13044975,35.93482986,37.85864276,39.08039764,39.12397739,38.62884173,39.11093607,38.02122462,36.217,39.0067,39.0878,39.124,39.124,39.124,39.124,39.124,39.124,39.124,39.124,39.124,39.124,39.124,39.124,39.124,39.124,39.124,39.124,39.124,39.124,39.124,39.124,39.124,39.124,39.124,39.124,39.124,39.124,3.99552,4.25922,254.293,159.284,0.3716
FAHPOV_clean-(id_176203),4000000,8.37E-05,17.87328757,23.94058276,37.65806133,73.99648329,167.0615985,424.8718759,700.9675871,1013.883715,1084.292985,1140.398774,0.144668,1.24006,7.1835,16.6812,32.468,99.883,529.623,756.106,1146.16,1225.29,1240.89,1258.98,1283.72,1289.62,1298.66,1305.18,1323.65,1322.75,1326.16,1331.95,1338.58,1352.87,1348.48,1349.27,1360.83,1362.75,1371.96,1376.46,1376.79,12.7086,15.8333,1930.74,4151.64,0.8222
FEZCIX_clean-(id_176389),4000000,4.24E-06,6.934538806,0.00993219,0.039728739,0.176905351,0.761967326,3.254571203,16.17578297,374.0041465,416.9010705,439.4385121,0,0,0.0001874,0.0039354,0.0367304,0.384638,4.02085,8.38277,19.5095,33.6557,419.582,437.751,450.876,457.771,466.38,469.41,472.175,483.766,492.259,491.506,496.61,496.82,499.861,509.23,518.064,525.17,527.328,529.884,529.013,6.13901,9.87905,3096.5,2922.91,0.8222
FIJYED_clean-(id_176450),4000000,64.9594,63.48778388,88.97767706,88.83679574,88.97767706,88.97767706,88.97767706,88.97767706,88.97767706,88.97767706,88.97767706,88.9358,88.9514,88.9777,88.9777,88.9777,88.9777,88.9777,88.9777,88.9777,88.9777,88.9777,88.9777,88.9777,88.9777,88.9777,88.9793,88.9777,88.9777,88.9777,88.9777,88.9777,88.9777,89.0147,88.9777,88.9777,88.9777,88.9777,88.9777,88.9777,3.98746,4.73259,745.293,391.895,0.4318
GISNED_clean-(id_185553),4000000,0.000103783,15.96022173,7.606888508,38.52610252,89.81829768,256.3309835,550.2234833,858.438392,1122.021153,1185.110952,1224.840133,0.00117087,0.0100174,0.0926546,0.952175,10.9304,108.69,674.532,1024.87,1278.34,1319.25,1337.92,1352.24,1360.37,1370.81,1378.75,1383.29,1389.15,1396.5,1400.39,1406.95,1410.72,1410.61,1417.18,1424.54,1428.28,1438.75,1440.49,1443.49,1440.6,10.6099,16.8839,2036.44,4557.7,0.8226
HOMXIR_manual-(id_177401),4000000,5.19E-05,13.21751462,2.61795,9.58436,35.5974,105.061,450.993,840.368,998.71,1324.33,1390.42,0,0.00645895,0.0498436,0.492343,4.56295,39.0865,607.836,940.731,1077.34,1136.29,1170.92,1198.12,1228.33,1247.67,1280.85,1314.67,1566.77,1578.57,1585.62,1590.67,1599.65,1612.53,1617.68,1624.01,1629.68,1649.93,1656.59,1653.16,1655.1,22.8547,23.7023,1769.36,4485.82,0.844
